check_time,id,post_reply,post_symph,post_time,post_title,post_view,post_view_diff,post_reply_diff,post_symph_diff
2019-01-29 17:37:42.340459,13108857,0,0,2019-01-29 16:37:35, 안드로이드 버전 올림되면 되도록이면 기존 앱들 지우고 다시 설치하는게 좋네요 ,408,408,0,0
2019-01-29 18:37:47.353462,13108857,0,0,2019-01-29 16:37:35, 안드로이드 버전 올림되면 되도록이면 기존 앱들 지우고 다시 설치하는게 좋네요 ,446,38,0,0
2019-01-29 19:37:39.413000,13108857,0,0,2019-01-29 16:37:35, 안드로이드 버전 올림되면 되도록이면 기존 앱들 지우고 다시 설치하는게 좋네요 ,466,20,0,0
2019-01-29 20:37:44.552286,13108857,0,0,2019-01-29 16:37:35, 안드로이드 버전 올림되면 되도록이면 기존 앱들 지우고 다시 설치하는게 좋네요 ,478,12,0,0
2019-01-29 21:37:36.648108,13108857,0,0,2019-01-29 16:37:35, 안드로이드 버전 올림되면 되도록이면 기존 앱들 지우고 다시 설치하는게 좋네요 ,483,5,0,0
2019-01-29 22:37:42.004664,13108857,0,0,2019-01-29 16:37:35, 안드로이드 버전 올림되면 되도록이면 기존 앱들 지우고 다시 설치하는게 좋네요 ,486,3,0,0
2019-01-29 23:37:47.126985,13108857,0,0,2019-01-29 16:37:35, 안드로이드 버전 올림되면 되도록이면 기존 앱들 지우고 다시 설치하는게 좋네요 ,488,2,0,0
2019-01-30 00:37:39.206747,13108857,0,0,2019-01-29 16:37:35, 안드로이드 버전 올림되면 되도록이면 기존 앱들 지우고 다시 설치하는게 좋네요 ,491,3,0,0
2019-01-30 01:37:44.366345,13108857,0,0,2019-01-29 16:37:35, 안드로이드 버전 올림되면 되도록이면 기존 앱들 지우고 다시 설치하는게 좋네요 ,493,2,0,0
2019-01-30 02:37:36.526685,13108857,0,0,2019-01-29 16:37:35, 안드로이드 버전 올림되면 되도록이면 기존 앱들 지우고 다시 설치하는게 좋네요 ,494,1,0,0
2019-01-30 03:37:41.603141,13108857,0,0,2019-01-29 16:37:35, 안드로이드 버전 올림되면 되도록이면 기존 앱들 지우고 다시 설치하는게 좋네요 ,496,2,0,0
2019-01-30 04:37:46.701764,13108857,0,0,2019-01-29 16:37:35, 안드로이드 버전 올림되면 되도록이면 기존 앱들 지우고 다시 설치하는게 좋네요 ,500,4,0,0
2019-01-30 05:37:38.793984,13108857,0,0,2019-01-29 16:37:35, 안드로이드 버전 올림되면 되도록이면 기존 앱들 지우고 다시 설치하는게 좋네요 ,501,1,0,0
2019-01-30 06:37:43.825552,13108857,0,0,2019-01-29 16:37:35, 안드로이드 버전 올림되면 되도록이면 기존 앱들 지우고 다시 설치하는게 좋네요 ,503,2,0,0
2019-01-30 07:37:36.014497,13108857,0,0,2019-01-29 16:37:35, 안드로이드 버전 올림되면 되도록이면 기존 앱들 지우고 다시 설치하는게 좋네요 ,505,2,0,0
2019-01-30 08:37:41.073330,13108857,0,0,2019-01-29 16:37:35, 안드로이드 버전 올림되면 되도록이면 기존 앱들 지우고 다시 설치하는게 좋네요 ,508,3,0,0
2019-01-30 09:37:46.094384,13108857,0,0,2019-01-29 16:37:35, 안드로이드 버전 올림되면 되도록이면 기존 앱들 지우고 다시 설치하는게 좋네요 ,510,2,0,0
2019-01-30 10:37:38.125661,13108857,0,0,2019-01-29 16:37:35, 안드로이드 버전 올림되면 되도록이면 기존 앱들 지우고 다시 설치하는게 좋네요 ,512,2,0,0
2019-01-30 11:37:43.262809,13108857,0,0,2019-01-29 16:37:35, 안드로이드 버전 올림되면 되도록이면 기존 앱들 지우고 다시 설치하는게 좋네요 ,514,2,0,0
2019-01-30 12:37:35.412127,13108857,0,0,2019-01-29 16:37:35, 안드로이드 버전 올림되면 되도록이면 기존 앱들 지우고 다시 설치하는게 좋네요 ,515,1,0,0
2019-01-30 13:37:40.534282,13108857,0,0,2019-01-29 16:37:35, 안드로이드 버전 올림되면 되도록이면 기존 앱들 지우고 다시 설치하는게 좋네요 ,518,3,0,0
2019-01-30 14:37:45.665266,13108857,0,0,2019-01-29 16:37:35, 안드로이드 버전 올림되면 되도록이면 기존 앱들 지우고 다시 설치하는게 좋네요 ,519,1,0,0
2019-01-30 15:37:37.907157,13108857,0,0,2019-01-29 16:37:35, 안드로이드 버전 올림되면 되도록이면 기존 앱들 지우고 다시 설치하는게 좋네요 ,520,1,0,0
2019-01-30 16:37:42.913835,13108857,0,0,2019-01-29 16:37:35, 안드로이드 버전 올림되면 되도록이면 기존 앱들 지우고 다시 설치하는게 좋네요 ,523,3,0,0
